"train/epoch","confused-sweep-23 - _step","confused-sweep-23 - _step__MIN","confused-sweep-23 - _step__MAX","confused-sweep-23 - eval/prefs/pred_median","confused-sweep-23 - eval/prefs/pred_median__MIN","confused-sweep-23 - eval/prefs/pred_median__MAX","confused-sweep-23 - eval/prefs/lower_p10","confused-sweep-23 - eval/prefs/lower_p10__MIN","confused-sweep-23 - eval/prefs/lower_p10__MAX","confused-sweep-23 - eval/prefs/lower_min","confused-sweep-23 - eval/prefs/lower_min__MIN","confused-sweep-23 - eval/prefs/lower_min__MAX","confused-sweep-23 - eval/prefs/upper_p90","confused-sweep-23 - eval/prefs/upper_p90__MIN","confused-sweep-23 - eval/prefs/upper_p90__MAX","confused-sweep-23 - eval/prefs/upper_max","confused-sweep-23 - eval/prefs/upper_max__MIN","confused-sweep-23 - eval/prefs/upper_max__MAX","polished-sweep-14 - _step","polished-sweep-14 - _step__MIN","polished-sweep-14 - _step__MAX","polished-sweep-14 - eval/prefs/pred_median","polished-sweep-14 - eval/prefs/pred_median__MIN","polished-sweep-14 - eval/prefs/pred_median__MAX","polished-sweep-14 - eval/prefs/lower_p10","polished-sweep-14 - eval/prefs/lower_p10__MIN","polished-sweep-14 - eval/prefs/lower_p10__MAX","polished-sweep-14 - eval/prefs/lower_min","polished-sweep-14 - eval/prefs/lower_min__MIN","polished-sweep-14 - eval/prefs/lower_min__MAX","polished-sweep-14 - eval/prefs/upper_p90","polished-sweep-14 - eval/prefs/upper_p90__MIN","polished-sweep-14 - eval/prefs/upper_p90__MAX","polished-sweep-14 - eval/prefs/upper_max","polished-sweep-14 - eval/prefs/upper_max__MIN","polished-sweep-14 - eval/prefs/upper_max__MAX","20250525-165710-unequaled-lark-148 - _step","20250525-165710-unequaled-lark-148 - _step__MIN","20250525-165710-unequaled-lark-148 - _step__MAX","20250525-165710-unequaled-lark-148 - eval/prefs/pred_median","20250525-165710-unequaled-lark-148 - eval/prefs/pred_median__MIN","20250525-165710-unequaled-lark-148 - eval/prefs/pred_median__MAX","20250525-165710-unequaled-lark-148 - eval/prefs/lower_p10","20250525-165710-unequaled-lark-148 - eval/prefs/lower_p10__MIN","20250525-165710-unequaled-lark-148 - eval/prefs/lower_p10__MAX","20250525-165710-unequaled-lark-148 - eval/prefs/lower_min","20250525-165710-unequaled-lark-148 - eval/prefs/lower_min__MIN","20250525-165710-unequaled-lark-148 - eval/prefs/lower_min__MAX","20250525-165710-unequaled-lark-148 - eval/prefs/upper_p90","20250525-165710-unequaled-lark-148 - eval/prefs/upper_p90__MIN","20250525-165710-unequaled-lark-148 - eval/prefs/upper_p90__MAX","20250525-165710-unequaled-lark-148 - eval/prefs/upper_max","20250525-165710-unequaled-lark-148 - eval/prefs/upper_max__MIN","20250525-165710-unequaled-lark-148 - eval/prefs/upper_max__MAX","20250525-165417-intelligent-colt-835 - _step","20250525-165417-intelligent-colt-835 - _step__MIN","20250525-165417-intelligent-colt-835 - _step__MAX","20250525-165417-intelligent-colt-835 - eval/prefs/pred_median","20250525-165417-intelligent-colt-835 - eval/prefs/pred_median__MIN","20250525-165417-intelligent-colt-835 - eval/prefs/pred_median__MAX","20250525-165417-intelligent-colt-835 - eval/prefs/lower_p10","20250525-165417-intelligent-colt-835 - eval/prefs/lower_p10__MIN","20250525-165417-intelligent-colt-835 - eval/prefs/lower_p10__MAX","20250525-165417-intelligent-colt-835 - eval/prefs/lower_min","20250525-165417-intelligent-colt-835 - eval/prefs/lower_min__MIN","20250525-165417-intelligent-colt-835 - eval/prefs/lower_min__MAX","20250525-165417-intelligent-colt-835 - eval/prefs/upper_p90","20250525-165417-intelligent-colt-835 - eval/prefs/upper_p90__MIN","20250525-165417-intelligent-colt-835 - eval/prefs/upper_p90__MAX","20250525-165417-intelligent-colt-835 - eval/prefs/upper_max","20250525-165417-intelligent-colt-835 - eval/prefs/upper_max__MIN","20250525-165417-intelligent-colt-835 - eval/prefs/upper_max__MAX","stellar-cherry-61 - _step","stellar-cherry-61 - _step__MIN","stellar-cherry-61 - _step__MAX","stellar-cherry-61 - eval/prefs/pred_median","stellar-cherry-61 - eval/prefs/pred_median__MIN","stellar-cherry-61 - eval/prefs/pred_median__MAX","stellar-cherry-61 - eval/prefs/lower_p10","stellar-cherry-61 - eval/prefs/lower_p10__MIN","stellar-cherry-61 - eval/prefs/lower_p10__MAX","stellar-cherry-61 - eval/prefs/lower_min","stellar-cherry-61 - eval/prefs/lower_min__MIN","stellar-cherry-61 - eval/prefs/lower_min__MAX","stellar-cherry-61 - eval/prefs/upper_p90","stellar-cherry-61 - eval/prefs/upper_p90__MIN","stellar-cherry-61 - eval/prefs/upper_p90__MAX","stellar-cherry-61 - eval/prefs/upper_max","stellar-cherry-61 - eval/prefs/upper_max__MIN","stellar-cherry-61 - eval/prefs/upper_max__MAX","morning-violet-3 - _step","morning-violet-3 - _step__MIN","morning-violet-3 - _step__MAX","morning-violet-3 - eval/prefs/pred_median","morning-violet-3 - eval/prefs/pred_median__MIN","morning-violet-3 - eval/prefs/pred_median__MAX","morning-violet-3 - eval/prefs/lower_p10","morning-violet-3 - eval/prefs/lower_p10__MIN","morning-violet-3 - eval/prefs/lower_p10__MAX","morning-violet-3 - eval/prefs/lower_min","morning-violet-3 - eval/prefs/lower_min__MIN","morning-violet-3 - eval/prefs/lower_min__MAX","morning-violet-3 - eval/prefs/upper_p90","morning-violet-3 - eval/prefs/upper_p90__MIN","morning-violet-3 - eval/prefs/upper_p90__MAX","morning-violet-3 - eval/prefs/upper_max","morning-violet-3 - eval/prefs/upper_max__MIN","morning-violet-3 - eval/prefs/upper_max__MAX"
"0.017176228100309172","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9","9","9","0.9238321185112","0.9238321185112","0.9238321185112","7.802027921784873e-18","7.802027921784873e-18","7.802027921784873e-18","9.989411028135284e-29","9.989411028135284e-29","9.989411028135284e-29","1","1","1","1","1","1","7","7","7","0.9238321185112","0.9238321185112","0.9238321185112","6.89350258653576e-7","6.89350258653576e-7","6.89350258653576e-7","7.586931018582912e-17","7.586931018582912e-17","7.586931018582912e-17","1","1","1","1","1","1"
"0.034352456200618345","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16","16","16","0.9184705018997192","0.9184705018997192","0.9184705018997192","4.164383275067143e-15","4.164383275067143e-15","4.164383275067143e-15","3.35801205729213e-23","3.35801205729213e-23","3.35801205729213e-23","1","1","1","1","1","1","14","14","14","0.9184705018997192","0.9184705018997192","0.9184705018997192","0.00001229804638569476","0.00001229804638569476","0.00001229804638569476","3.3842937133266027e-14","3.3842937133266027e-14","3.3842937133266027e-14","1","1","1","1","1","1"
"0.04016477857878476","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20","20","20","0.5074625015258789","0.5074625015258789","0.5074625015258789","0.025121651589870453","0.025121651589870453","0.025121651589870453","0.002177181886509061","0.002177181886509061","0.002177181886509061","0.9786132574081421","0.9786132574081421","0.9786132574081421","0.9978713989257812","0.9978713989257812","0.9978713989257812","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0.04016994978756277","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20","20","20","0.6229347586631775","0.6229347586631775","0.6229347586631775","0.0007574973278678954","0.0007574973278678954","0.0007574973278678954","0.000008999025340017397","0.000008999025340017397","0.000008999025340017397","0.9998388290405273","0.9998388290405273","0.9998388290405273","0.9999985694885254","0.9999985694885254","0.9999985694885254","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0.05152868430092752","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23","23","23","0.9218021631240845","0.9218021631240845","0.9218021631240845","4.649846046395067e-13","4.649846046395067e-13","4.649846046395067e-13","2.2556350965204432e-21","2.2556350965204432e-21","2.2556350965204432e-21","1","1","1","1","1","1","21","21","21","0.9218021631240845","0.9218021631240845","0.9218021631240845","0.000037238787626847625","0.000037238787626847625","0.000037238787626847625","3.6574381218935914e-14","3.6574381218935914e-14","3.6574381218935914e-14","1","1","1","1","1","1"
"0.054945054945054944","102","102","102","0.5155997276306152","0.5155997276306152","0.5155997276306152","0.05023013800382614","0.05023013800382614","0.05023013800382614","0.011106694117188454","0.011106694117188454","0.011106694117188454","0.953345000743866","0.953345000743866","0.953345000743866","0.9880349040031433","0.9880349040031433","0.9880349040031433","102","102","102","0.5215208530426025","0.5215208530426025","0.5215208530426025","0.16671639680862427","0.16671639680862427","0.16671639680862427","0.05117948353290558","0.05117948353290558","0.05117948353290558","0.8623462915420532","0.8623462915420532","0.8623462915420532","0.9484260082244873","0.9484260082244873","0.9484260082244873","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0.06870491240123669","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30","30","30","0.9358592629432678","0.9358592629432678","0.9358592629432678","1.8214238711039554e-12","1.8214238711039554e-12","1.8214238711039554e-12","4.503604935754493e-24","4.503604935754493e-24","4.503604935754493e-24","1","1","1","1","1","1","28","28","28","0.9358592629432678","0.9358592629432678","0.9358592629432678","0.000018326363715459593","0.000018326363715459593","0.000018326363715459593","7.909707812385189e-18","7.909707812385189e-18","7.909707812385189e-18","1","1","1","1","1","1"
"0.08032955715756952","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","42","42","42","0.5396471619606018","0.5396471619606018","0.5396471619606018","0.02301618456840515","0.02301618456840515","0.02301618456840515","0.001044144737534225","0.001044144737534225","0.001044144737534225","0.9845079183578491","0.9845079183578491","0.9845079183578491","0.9991641044616699","0.9991641044616699","0.9991641044616699","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0.08033989957512554","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","42","42","42","0.7002776861190796","0.7002776861190796","0.7002776861190796","0.0014128955081105232","0.0014128955081105232","0.0014128955081105232","0.0000063681313804409","0.0000063681313804409","0.0000063681313804409","0.9998866319656372","0.9998866319656372","0.9998866319656372","0.9999997615814209","0.9999997615814209","0.9999997615814209","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0.08588114050154586","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","37","37","37","0.9279540181159973","0.9279540181159973","0.9279540181159973","7.176052720797577e-12","7.176052720797577e-12","7.176052720797577e-12","2.1205648934462104e-22","2.1205648934462104e-22","2.1205648934462104e-22","1","1","1","1","1","1","35","35","35","0.9279540181159973","0.9279540181159973","0.9279540181159973","0.00004579397136694752","0.00004579397136694752","0.00004579397136694752","1.6636566705483424e-15","1.6636566705483424e-15","1.6636566705483424e-15","1","1","1","1","1","1"
