"train/epoch","confused-sweep-23 - _step","confused-sweep-23 - _step__MIN","confused-sweep-23 - _step__MAX","confused-sweep-23 - eval/prefs/uncertainty_mean","confused-sweep-23 - eval/prefs/uncertainty_mean__MIN","confused-sweep-23 - eval/prefs/uncertainty_mean__MAX","polished-sweep-14 - _step","polished-sweep-14 - _step__MIN","polished-sweep-14 - _step__MAX","polished-sweep-14 - eval/prefs/uncertainty_mean","polished-sweep-14 - eval/prefs/uncertainty_mean__MIN","polished-sweep-14 - eval/prefs/uncertainty_mean__MAX","20250525-165710-unequaled-lark-148 - _step","20250525-165710-unequaled-lark-148 - _step__MIN","20250525-165710-unequaled-lark-148 - _step__MAX","20250525-165710-unequaled-lark-148 - eval/prefs/uncertainty_mean","20250525-165710-unequaled-lark-148 - eval/prefs/uncertainty_mean__MIN","20250525-165710-unequaled-lark-148 - eval/prefs/uncertainty_mean__MAX","20250525-165417-intelligent-colt-835 - _step","20250525-165417-intelligent-colt-835 - _step__MIN","20250525-165417-intelligent-colt-835 - _step__MAX","20250525-165417-intelligent-colt-835 - eval/prefs/uncertainty_mean","20250525-165417-intelligent-colt-835 - eval/prefs/uncertainty_mean__MIN","20250525-165417-intelligent-colt-835 - eval/prefs/uncertainty_mean__MAX","stellar-cherry-61 - _step","stellar-cherry-61 - _step__MIN","stellar-cherry-61 - _step__MAX","stellar-cherry-61 - eval/prefs/uncertainty_mean","stellar-cherry-61 - eval/prefs/uncertainty_mean__MIN","stellar-cherry-61 - eval/prefs/uncertainty_mean__MAX","morning-violet-3 - _step","morning-violet-3 - _step__MIN","morning-violet-3 - _step__MAX","morning-violet-3 - eval/prefs/uncertainty_mean","morning-violet-3 - eval/prefs/uncertainty_mean__MIN","morning-violet-3 - eval/prefs/uncertainty_mean__MAX"
"0.017176228100309172","","","","","","","","","","","","","","","","","","","","","","","","","9","9","9","0.9907446503639221","0.9907446503639221","0.9907446503639221","7","7","7","0.5689661502838135","0.5689661502838135","0.5689661502838135"
"0.034352456200618345","","","","","","","","","","","","","","","","","","","","","","","","","16","16","16","0.9863819479942322","0.9863819479942322","0.9863819479942322","14","14","14","0.4905247688293457","0.4905247688293457","0.4905247688293457"
"0.04016477857878476","","","","","","","","","","","","","20","20","20","0.6908072829246521","0.6908072829246521","0.6908072829246521","","","","","","","","","","","","","","","","","",""
"0.04016994978756277","","","","","","","","","","","","","","","","","","","20","20","20","0.7577189207077026","0.7577189207077026","0.7577189207077026","","","","","","","","","","","",""
"0.05152868430092752","","","","","","","","","","","","","","","","","","","","","","","","","23","23","23","0.952397346496582","0.952397346496582","0.952397346496582","21","21","21","0.42289674282073975","0.42289674282073975","0.42289674282073975"
"0.054945054945054944","102","102","102","0.7677596807479858","0.7677596807479858","0.7677596807479858","102","102","102","0.48377540707588196","0.48377540707588196","0.48377540707588196","","","","","","","","","","","","","","","","","","","","","","","",""
"0.06870491240123669","","","","","","","","","","","","","","","","","","","","","","","","","30","30","30","0.8934943079948425","0.8934943079948425","0.8934943079948425","28","28","28","0.34430497884750366","0.34430497884750366","0.34430497884750366"
"0.08032955715756952","","","","","","","","","","","","","42","42","42","0.6794065237045288","0.6794065237045288","0.6794065237045288","","","","","","","","","","","","","","","","","",""
"0.08033989957512554","","","","","","","","","","","","","","","","","","","42","42","42","0.6665549874305725","0.6665549874305725","0.6665549874305725","","","","","","","","","","","",""
"0.08588114050154586","","","","","","","","","","","","","","","","","","","","","","","","","37","37","37","0.8943027853965759","0.8943027853965759","0.8943027853965759","35","35","35","0.33737385272979736","0.33737385272979736","0.33737385272979736"
"0.10305736860185503","","","","","","","","","","","","","","","","","","","","","","","","","44","44","44","0.8835775256156921","0.8835775256156921","0.8835775256156921","42","42","42","0.31622573733329773","0.31622573733329773","0.31622573733329773"
"0.10989010989010989","205","205","205","0.6533403396606445","0.6533403396606445","0.6533403396606445","205","205","205","0.40564754605293274","0.40564754605293274","0.40564754605293274","","","","","","","","","","","","","","","","","","","","","","","",""
"0.1202335967021642","","","","","","","","","","","","","","","","","","","","","","","","","51","51","51","0.8456262350082397","0.8456262350082397","0.8456262350082397","49","49","49","0.279958039522171","0.279958039522171","0.279958039522171"
"0.12049433573635428","","","","","","","","","","","","","63","63","63","0.6630949378013611","0.6630949378013611","0.6630949378013611","","","","","","","","","","","","","","","","","",""
"0.1205098493626883","","","","","","","","","","","","","","","","","","","63","63","63","0.7293699383735657","0.7293699383735657","0.7293699383735657","","","","","","","","","","","",""
"0.13740982480247338","","","","","","","","","","","","","","","","","","","","","","","","","58","58","58","0.8342146277427673","0.8342146277427673","0.8342146277427673","56","56","56","0.27570706605911255","0.27570706605911255","0.27570706605911255"
"0.15458605290278254","","","","","","","","","","","","","","","","","","","","","","","","","65","65","65","0.7915133833885193","0.7915133833885193","0.7915133833885193","63","63","63","0.2479339987039566","0.2479339987039566","0.2479339987039566"
"0.16065911431513905","","","","","","","","","","","","","85","85","85","0.6559622287750244","0.6559622287750244","0.6559622287750244","","","","","","","","","","","","","","","","","",""
"0.16067979915025107","","","","","","","","","","","","","","","","","","","85","85","85","0.6643298268318176","0.6643298268318176","0.6643298268318176","","","","","","","","","","","",""
"0.16483516483516483","308","308","308","0.6098926663398743","0.6098926663398743","0.6098926663398743","308","308","308","0.3749502897262573","0.3749502897262573","0.3749502897262573","","","","","","","","","","","","","","","","","","","","","","","",""
"0.1717622810030917","","","","","","","","","","","","","","","","","","","","","","","","","72","72","72","0.7593686580657959","0.7593686580657959","0.7593686580657959","70","70","70","0.22308959066867828","0.22308959066867828","0.22308959066867828"
"0.1889385091034009","","","","","","","","","","","","","","","","","","","","","","","","","79","79","79","0.7815616726875305","0.7815616726875305","0.7815616726875305","77","77","77","0.23102596402168274","0.23102596402168274","0.23102596402168274"
"0.2008238928939238","","","","","","","","","","","","","106","106","106","0.6484647393226624","0.6484647393226624","0.6484647393226624","","","","","","","","","","","","","","","","","",""
"0.20084974893781382","","","","","","","","","","","","","","","","","","","106","106","106","0.6300764679908752","0.6300764679908752","0.6300764679908752","","","","","","","","","","","",""
"0.20611473720371007","","","","","","","","","","","","","","","","","","","","","","","","","86","86","86","0.6890305280685425","0.6890305280685425","0.6890305280685425","84","84","84","0.19588376581668854","0.19588376581668854","0.19588376581668854"
"0.21978021978021978","411","411","411","0.5802329778671265","0.5802329778671265","0.5802329778671265","411","411","411","0.35514241456985474","0.35514241456985474","0.35514241456985474","","","","","","","","","","","","","","","","","","","","","","","",""
"0.22329096530401923","","","","","","","","","","","","","","","","","","","","","","","","","93","93","93","0.7096459269523621","0.7096459269523621","0.7096459269523621","91","91","91","0.20431342720985413","0.20431342720985413","0.20431342720985413"
"0.2404671934043284","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","0.6830677390098572","0.6830677390098572","0.6830677390098572","98","98","98","0.18663759529590607","0.18663759529590607","0.18663759529590607"
"0.24098867147270855","","","","","","","","","","","","","128","128","128","0.6216272115707397","0.6216272115707397","0.6216272115707397","","","","","","","","","","","","","","","","","",""
"0.2410196987253766","","","","","","","","","","","","","","","","","","","128","128","128","0.6706185936927795","0.6706185936927795","0.6706185936927795","","","","","","","","","","","",""
"0.2576434215046376","","","","","","","","","","","","","","","","","","","","","","","","","107","107","107","0.6885465383529663","0.6885465383529663","0.6885465383529663","105","105","105","0.17783108353614807","0.17783108353614807","0.17783108353614807"
"0.27472527472527475","514","514","514","0.5575297474861145","0.5575297474861145","0.5575297474861145","514","514","514","0.3393838703632355","0.3393838703632355","0.3393838703632355","","","","","","","","","","","","","","","","","","","","","","","",""
"0.27481964960494676","","","","","","","","","","","","","","","","","","","","","","","","","114","114","114","0.7071252465248108","0.7071252465248108","0.7071252465248108","112","112","112","0.19468075037002563","0.19468075037002563","0.19468075037002563"
"0.2811534500514933","","","","","","","","","","","","","149","149","149","0.6104090213775635","0.6104090213775635","0.6104090213775635","","","","","","","","","","","","","","","","","",""
"0.28118964851293937","","","","","","","","","","","","","","","","","","","149","149","149","0.6077145934104919","0.6077145934104919","0.6077145934104919","","","","","","","","","","","",""
"0.2919958777052559","","","","","","","","","","","","","","","","","","","","","","","","","121","121","121","0.6874864101409912","0.6874864101409912","0.6874864101409912","119","119","119","0.18114367127418518","0.18114367127418518","0.18114367127418518"
"0.3091721058055651","","","","","","","","","","","","","","","","","","","","","","","","","128","128","128","0.698505163192749","0.698505163192749","0.698505163192749","126","126","126","0.18130232393741608","0.18130232393741608","0.18130232393741608"
"0.3213182286302781","","","","","","","","","","","","","171","171","171","0.6120972037315369","0.6120972037315369","0.6120972037315369","","","","","","","","","","","","","","","","","",""
"0.32135959830050215","","","","","","","","","","","","","","","","","","","171","171","171","0.5903526544570923","0.5903526544570923","0.5903526544570923","","","","","","","","","","","",""
"0.32634833390587425","","","","","","","","","","","","","","","","","","","","","","","","","135","135","135","0.6449450254440308","0.6449450254440308","0.6449450254440308","133","133","133","0.1614861637353897","0.1614861637353897","0.1614861637353897"
"0.32967032967032966","617","617","617","0.5424238443374634","0.5424238443374634","0.5424238443374634","617","617","617","0.32932421565055847","0.32932421565055847","0.32932421565055847","","","","","","","","","","","","","","","","","","","","","","","",""
"0.3435245620061834","","","","","","","","","","","","","","","","","","","","","","","","","142","142","142","0.6325839757919312","0.6325839757919312","0.6325839757919312","140","140","140","0.1474764198064804","0.1474764198064804","0.1474764198064804"
"0.36070079010649264","","","","","","","","","","","","","","","","","","","","","","","","","149","149","149","0.6768707036972046","0.6768707036972046","0.6768707036972046","147","147","147","0.16970860958099365","0.16970860958099365","0.16970860958099365"
"0.36148300720906285","","","","","","","","","","","","","192","192","192","0.6029883623123169","0.6029883623123169","0.6029883623123169","","","","","","","","","","","","","","","","","",""
"0.36152954808806487","","","","","","","","","","","","","","","","","","","192","192","192","0.6721802949905396","0.6721802949905396","0.6721802949905396","","","","","","","","","","","",""
"0.3778770182068018","","","","","","","","","","","","","","","","","","","","","","","","","156","156","156","0.643693745136261","0.643693745136261","0.643693745136261","154","154","154","0.1622917205095291","0.1622917205095291","0.1622917205095291"
"0.38461538461538464","720","720","720","0.5304274559020996","0.5304274559020996","0.5304274559020996","720","720","720","0.31968408823013306","0.31968408823013306","0.31968408823013306","","","","","","","","","","","","","","","","","","","","","","","",""
"0.395053246307111","","","","","","","","","","","","","","","","","","","","","","","","","163","163","163","0.6196341514587402","0.6196341514587402","0.6196341514587402","161","161","161","0.15527158975601196","0.15527158975601196","0.15527158975601196"
"0.4016477857878476","","","","","","","","","","","","","214","214","214","0.5886998772621155","0.5886998772621155","0.5886998772621155","","","","","","","","","","","","","","","","","",""
"0.40169949787562764","","","","","","","","","","","","","","","","","","","214","214","214","0.5743894577026367","0.5743894577026367","0.5743894577026367","","","","","","","","","","","",""
"0.41222947440742014","","","","","","","","","","","","","","","","","","","","","","","","","170","170","170","0.6378779411315918","0.6378779411315918","0.6378779411315918","168","168","168","0.15597489476203918","0.15597489476203918","0.15597489476203918"
"0.4294057025077293","","","","","","","","","","","","","","","","","","","","","","","","","177","177","177","0.6168144345283508","0.6168144345283508","0.6168144345283508","175","175","175","0.15314830839633942","0.15314830839633942","0.15314830839633942"
"0.43956043956043955","823","823","823","0.5155870914459229","0.5155870914459229","0.5155870914459229","823","823","823","0.31099653244018555","0.31099653244018555","0.31099653244018555","","","","","","","","","","","","","","","","","","","","","","","",""
"0.44181256436663235","","","","","","","","","","","","","235","235","235","0.5904689431190491","0.5904689431190491","0.5904689431190491","","","","","","","","","","","","","","","","","",""
"0.4418694476631904","","","","","","","","","","","","","","","","","","","235","235","235","0.5742828845977783","0.5742828845977783","0.5742828845977783","","","","","","","","","","","",""
"0.44658193060803847","","","","","","","","","","","","","","","","","","","","","","","","","184","184","184","0.6055507063865662","0.6055507063865662","0.6055507063865662","182","182","182","0.14634926617145538","0.14634926617145538","0.14634926617145538"
"0.46375815870834763","","","","","","","","","","","","","","","","","","","","","","","","","191","191","191","0.5737923383712769","0.5737923383712769","0.5737923383712769","189","189","189","0.14293694496154785","0.14293694496154785","0.14293694496154785"
"0.4809343868086568","","","","","","","","","","","","","","","","","","","","","","","","","198","198","198","0.5529999732971191","0.5529999732971191","0.5529999732971191","196","196","196","0.1300228089094162","0.1300228089094162","0.1300228089094162"
"0.4819773429454171","","","","","","","","","","","","","257","257","257","0.5760807991027832","0.5760807991027832","0.5760807991027832","","","","","","","","","","","","","","","","","",""
"0.4820393974507532","","","","","","","","","","","","","","","","","","","257","257","257","0.5879622101783752","0.5879622101783752","0.5879622101783752","","","","","","","","","","","",""
"0.4945054945054945","926","926","926","0.5035955905914307","0.5035955905914307","0.5035955905914307","926","926","926","0.3031553626060486","0.3031553626060486","0.3031553626060486","","","","","","","","","","","","","","","","","","","","","","","",""
"0.49811061490896597","","","","","","","","","","","","","","","","","","","","","","","","","205","205","205","0.6151939034461975","0.6151939034461975","0.6151939034461975","203","203","203","0.1437321901321411","0.1437321901321411","0.1437321901321411"
"0.5152868430092752","","","","","","","","","","","","","","","","","","","","","","","","","212","212","212","0.5835967063903809","0.5835967063903809","0.5835967063903809","210","210","210","0.1343279927968979","0.1343279927968979","0.1343279927968979"
"0.5221421215242018","","","","","","","","","","","","","278","278","278","0.5692558288574219","0.5692558288574219","0.5692558288574219","","","","","","","","","","","","","","","","","",""
"0.5222093472383159","","","","","","","","","","","","","","","","","","","278","278","278","0.5795339941978455","0.5795339941978455","0.5795339941978455","","","","","","","","","","","",""
"0.5324630711095844","","","","","","","","","","","","","","","","","","","","","","","","","219","219","219","0.5852601528167725","0.5852601528167725","0.5852601528167725","217","217","217","0.1361568719148636","0.1361568719148636","0.1361568719148636"
"0.5494505494505495","1029","1029","1029","0.493233323097229","0.493233323097229","0.493233323097229","1029","1029","1029","0.2957701086997986","0.2957701086997986","0.2957701086997986","","","","","","","","","","","","","","","","","","","","","","","",""
"0.5496392992098935","","","","","","","","","","","","","","","","","","","","","","","","","226","226","226","0.5777474641799927","0.5777474641799927","0.5777474641799927","224","224","224","0.1297706961631775","0.1297706961631775","0.1297706961631775"
